Binding Energy/eV,Intensity,ac
1303.8,71135.3,71135.3
1303.4,71658.8,71658.8
1303.0,70455.9,70455.9
1302.6,71023.5,71023.5
1302.2,71038.2,71038.2
1301.8,69291.2,69291.2
1301.4,69652.9,69652.9
1301.0,68988.2,68988.2
1300.6,69638.2,69638.2
1300.2,68770.6,68770.6
1299.8,67988.2,67988.2
1299.4,67779.4,67779.4
1299.0,67726.5,67726.5
1298.6,67614.7,67614.7
1298.2,65982.4,65982.4
1297.8,65800.0,65800.0
1297.4,65797.1,65797.1
1297.0,65491.2,65491.2
1296.6,64479.4,64479.4
1296.2,65602.9,65602.9
1295.8,63658.8,63658.8
1295.4,64914.7,64914.7
1295.0,64497.1,64497.1
1294.6,64773.5,64773.5
1294.2,64788.2,64788.2
1293.8,64588.2,64588.2
1293.4,63788.2,63788.2
1293.0,63617.6,63617.6
1292.6,63479.4,63479.4
1292.2,63400.0,63400.0
1291.8,63082.4,63082.4
1291.4,62823.5,62823.5
1291.0,63276.5,63276.5
1290.6,63291.2,63291.2
1290.2,63644.1,63644.1
1289.8,62764.7,62764.7
1289.4,63041.2,63041.2
1289.0,62905.9,62905.9
1288.6,62585.3,62585.3
1288.2,62535.3,62535.3
1287.8,63144.1,63144.1
1287.4,63414.7,63414.7
1287.0,62229.4,62229.4
1286.6,62438.2,62438.2
1286.2,62988.2,62988.2
1285.8,63388.2,63388.2
1285.4,62532.4,62532.4
1285.0,63547.1,63547.1
1284.6,61626.5,61626.5
1284.2,62638.2,62638.2
1283.8,62644.1,62644.1
1283.4,61573.5,61573.5
1283.0,61955.9,61955.9
1282.6,61735.3,61735.3
1282.2,61576.5,61576.5
1281.8,62873.5,62873.5
1281.4,62000.0,62000.0
1281.0,62326.5,62326.5
1280.6,61488.2,61488.2
1280.2,62173.5,62173.5
1279.8,60594.1,60594.1
1279.4,61329.4,61329.4
1279.0,61073.5,61073.5
1278.6,60476.5,60476.5
1278.2,61123.5,61123.5
1277.8,60682.4,60682.4
1277.4,61147.1,61147.1
1277.0,61652.9,61652.9
1276.6,60773.5,60773.5
1276.2,61011.8,61011.8
1275.8,60805.9,60805.9
1275.4,61211.8,61211.8
1275.0,60532.4,60532.4
1274.6,60508.8,60508.8
1274.2,61532.4,61532.4
1273.8,60541.2,60541.2
1273.4,60573.5,60573.5
1273.0,60682.4,60682.4
1272.6,61132.4,61132.4
1272.2,60247.1,60247.1
1271.8,59567.6,59567.6
1271.4,60220.6,60220.6
1271.0,59855.9,59855.9
1270.6,60900.0,60900.0
1270.2,60726.5,60726.5
1269.8,60491.2,60491.2
1269.4,60264.7,60264.7
1269.0,60644.1,60644.1
1268.6,59676.5,59676.5
1268.2,60564.7,60564.7
1267.8,59717.6,59717.6
1267.4,59376.5,59376.5
1267.0,59773.5,59773.5
1266.6,60100.0,60100.0
1266.2,59682.4,59682.4
1265.8,59285.3,59285.3
1265.4,60094.1,60094.1
1265.0,59529.4,59529.4
1264.6,59908.8,59908.8
1264.2,59420.6,59420.6
1263.8,60564.7,60564.7
1263.4,59632.4,59632.4
1263.0,59952.9,59952.9
1262.6,59647.1,59647.1
1262.2,59297.1,59297.1
1261.8,59852.9,59852.9
1261.4,58605.9,58605.9
1261.0,59129.4,59129.4
1260.6,58626.5,58626.5
1260.2,59450.0,59450.0
1259.8,59244.1,59244.1
1259.4,59126.5,59126.5
1259.0,59638.2,59638.2
1258.6,58832.4,58832.4
1258.2,59611.8,59611.8
1257.8,60023.5,60023.5
1257.4,59502.9,59502.9
1257.0,59405.9,59405.9
1256.6,58952.9,58952.9
1256.2,58517.6,58517.6
1255.8,59317.6,59317.6
1255.4,58647.1,58647.1
1255.0,59467.6,59467.6
1254.6,59152.9,59152.9
1254.2,58647.1,58647.1
1253.8,58602.9,58602.9
1253.4,58588.2,58588.2
1253.0,59141.2,59141.2
1252.6,59247.1,59247.1
1252.2,59282.4,59282.4
1251.8,58838.2,58838.2
1251.4,59970.6,59970.6
1251.0,59644.1,59644.1
1250.6,59344.1,59344.1
1250.2,59400.0,59400.0
1249.8,59744.1,59744.1
1249.4,59994.1,59994.1
1249.0,60291.2,60291.2
1248.6,59897.1,59897.1
1248.2,60550.0,60550.0
1247.8,59979.4,59979.4
1247.4,60138.2,60138.2
1247.0,59882.4,59882.4
1246.6,59617.6,59617.6
1246.2,59458.8,59458.8
1245.8,60185.3,60185.3
1245.4,59761.8,59761.8
1245.0,59767.6,59767.6
1244.6,60120.6,60120.6
1244.2,59847.1,59847.1
1243.8,59770.6,59770.6
1243.4,59914.7,59914.7
1243.0,60100.0,60100.0
1242.6,58579.4,58579.4
1242.2,58423.5,58423.5
1241.8,59338.2,59338.2
1241.4,58526.5,58526.5
1241.0,58785.3,58785.3
1240.6,58600.0,58600.0
1240.2,58138.2,58138.2
1239.8,58691.2,58691.2
1239.4,58341.2,58341.2
1239.0,58576.5,58576.5
1238.6,57429.4,57429.4
1238.2,58588.2,58588.2
1237.8,57079.4,57079.4
1237.4,57873.5,57873.5
1237.0,57455.9,57455.9
1236.6,57082.4,57082.4
1236.2,57894.1,57894.1
1235.8,57170.6,57170.6
1235.4,58282.4,58282.4
1235.0,57805.9,57805.9
1234.6,57917.6,57917.6
1234.2,57388.2,57388.2
1233.8,56958.8,56958.8
1233.4,57197.1,57197.1
1233.0,57752.9,57752.9
1232.6,58044.1,58044.1
1232.2,58308.8,58308.8
1231.8,58135.3,58135.3
1231.4,57917.6,57917.6
1231.0,59020.6,59020.6
1230.6,59005.9,59005.9
1230.2,58476.5,58476.5
1229.8,58420.6,58420.6
1229.4,58276.5,58276.5
1229.0,58285.3,58285.3
1228.6,58635.3,58635.3
1228.2,59102.9,59102.9
1227.8,59061.8,59061.8
1227.4,58661.8,58661.8
1227.0,58329.4,58329.4
1226.6,58629.4,58629.4
1226.2,59050.0,59050.0
1225.8,58858.8,58858.8
1225.4,58420.6,58420.6
1225.0,58076.5,58076.5
1224.6,58388.2,58388.2
1224.2,58323.5,58323.5
1223.8,58402.9,58402.9
1223.4,57967.6,57967.6
1223.0,58017.6,58017.6
1222.6,57729.4,57729.4
1222.2,56952.9,56952.9
1221.8,56905.9,56905.9
1221.4,57441.2,57441.2
1221.0,57870.6,57870.6
1220.6,57752.9,57752.9
1220.2,56723.5,56723.5
1219.8,55947.1,55947.1
1219.4,56405.9,56405.9
1219.0,56067.6,56067.6
1218.6,56302.9,56302.9
1218.2,56450.0,56450.0
1217.8,55505.9,55505.9
1217.4,56023.5,56023.5
1217.0,56311.8,56311.8
1216.6,54985.3,54985.3
1216.2,55229.4,55229.4
1215.8,55091.2,55091.2
1215.4,54697.1,54697.1
1215.0,54285.3,54285.3
1214.6,54932.4,54932.4
1214.2,54079.4,54079.4
1213.8,54667.6,54667.6
1213.4,53750.0,53750.0
1213.0,54602.9,54602.9
1212.6,54141.2,54141.2
1212.2,53564.7,53564.7
1211.8,53508.8,53508.8
1211.4,53785.3,53785.3
1211.0,53394.1,53394.1
1210.6,52905.9,52905.9
1210.2,53014.7,53014.7
1209.8,53452.9,53452.9
1209.4,52191.2,52191.2
1209.0,53261.8,53261.8
1208.6,53270.6,53270.6
1208.2,52500.0,52500.0
1207.8,53008.8,53008.8
1207.4,52767.6,52767.6
1207.0,52661.8,52661.8
1206.6,53026.5,53026.5
1206.2,52726.5,52726.5
1205.8,52485.3,52485.3
1205.4,52764.7,52764.7
1205.0,53179.4,53179.4
1204.6,52535.3,52535.3
1204.2,52702.9,52702.9
1203.8,52920.6,52920.6
1203.4,52444.1,52444.1
1203.0,52414.7,52414.7
1202.6,52873.5,52873.5
1202.2,52894.1,52894.1
1201.8,52223.5,52223.5
1201.4,52514.7,52514.7
1201.0,52820.6,52820.6
1200.6,53223.5,53223.5
1200.2,53417.6,53417.6
1199.8,52517.6,52517.6
1199.4,52638.2,52638.2
1199.0,52873.5,52873.5
1198.6,53535.3,53535.3
1198.2,53964.7,53964.7
1197.8,54614.7,54614.7
1197.4,53723.5,53723.5
1197.0,53894.1,53894.1
1196.6,54705.9,54705.9
1196.2,54076.5,54076.5
1195.8,54891.2,54891.2
1195.4,54058.8,54058.8
1195.0,54173.5,54173.5
1194.6,54111.8,54111.8
1194.2,53476.5,53476.5
1193.8,53623.5,53623.5
1193.4,52911.8,52911.8
1193.0,52888.2,52888.2
1192.6,53141.2,53141.2
1192.2,52705.9,52705.9
1191.8,53135.3,53135.3
1191.4,52655.9,52655.9
1191.0,54108.8,54108.8
1190.6,52444.1,52444.1
1190.2,52250.0,52250.0
1189.8,53279.4,53279.4
1189.4,53191.2,53191.2
1189.0,53429.4,53429.4
1188.6,53073.5,53073.5
1188.2,52717.6,52717.6
1187.8,52297.1,52297.1
1187.4,53273.5,53273.5
1187.0,53532.4,53532.4
1186.6,53376.5,53376.5
1186.2,52641.2,52641.2
1185.8,51917.6,51917.6
1185.4,52270.6,52270.6
1185.0,52547.1,52547.1
1184.6,52617.6,52617.6
1184.2,52970.6,52970.6
1183.8,52444.1,52444.1
1183.4,52050.0,52050.0
1183.0,52891.2,52891.2
1182.6,51726.5,51726.5
1182.2,51555.9,51555.9
1181.8,52461.8,52461.8
1181.4,52717.6,52717.6
1181.0,52438.2,52438.2
1180.6,52985.3,52985.3
1180.2,52264.7,52264.7
1179.8,52935.3,52935.3
1179.4,52755.9,52755.9
1179.0,52050.0,52050.0
1178.6,52858.8,52858.8
1178.2,52494.1,52494.1
1177.8,52988.2,52988.2
1177.4,52791.2,52791.2
1177.0,52076.5,52076.5
1176.6,52779.4,52779.4
1176.2,51647.1,51647.1
1175.8,52126.5,52126.5
1175.4,52350.0,52350.0
1175.0,51964.7,51964.7
1174.6,51935.3,51935.3
1174.2,51873.5,51873.5
1173.8,52014.7,52014.7
1173.4,52908.8,52908.8
1173.0,52161.8,52161.8
1172.6,51747.1,51747.1
1172.2,51926.5,51926.5
1171.8,52570.6,52570.6
1171.4,52691.2,52691.2
1171.0,52152.9,52152.9
1170.6,52732.4,52732.4
1170.2,52697.1,52697.1
1169.8,52764.7,52764.7
1169.4,52714.7,52714.7
1169.0,51838.2,51838.2
1168.6,53102.9,53102.9
1168.2,52994.1,52994.1
1167.8,53170.6,53170.6
1167.4,53232.4,53232.4
1167.0,53050.0,53050.0
1166.6,53088.2,53088.2
1166.2,52505.9,52505.9
1165.8,52885.3,52885.3
1165.4,52638.2,52638.2
1165.0,52855.9,52855.9
1164.6,52882.4,52882.4
1164.2,53664.7,53664.7
1163.8,53005.9,53005.9
1163.4,53055.9,53055.9
1163.0,52708.8,52708.8
1162.6,52223.5,52223.5
1162.2,52864.7,52864.7
1161.8,53129.4,53129.4
1161.4,52791.2,52791.2
1161.0,52894.1,52894.1
1160.6,52650.0,52650.0
1160.2,52779.4,52779.4
1159.8,53017.6,53017.6
1159.4,52785.3,52785.3
1159.0,53226.5,53226.5
1158.6,53435.3,53435.3
1158.2,53597.1,53597.1
1157.8,53455.9,53455.9
1157.4,52844.1,52844.1
1157.0,52579.4,52579.4
1156.6,53144.1,53144.1
1156.2,53505.9,53505.9
1155.8,53650.0,53650.0
1155.4,53882.4,53882.4
1155.0,52252.9,52252.9
1154.6,53138.2,53138.2
1154.2,53217.6,53217.6
1153.8,52817.6,52817.6
1153.4,53420.6,53420.6
1153.0,53352.9,53352.9
1152.6,53320.6,53320.6
1152.2,52900.0,52900.0
1151.8,53623.5,53623.5
1151.4,53902.9,53902.9
1151.0,53797.1,53797.1
1150.6,53529.4,53529.4
1150.2,52485.3,52485.3
1149.8,54026.5,54026.5
1149.4,53688.2,53688.2
1149.0,53073.5,53073.5
1148.6,53935.3,53935.3
1148.2,52985.3,52985.3
1147.8,53550.0,53550.0
1147.4,52544.1,52544.1
1147.0,54173.5,54173.5
1146.6,53335.3,53335.3
1146.2,54032.4,54032.4
1145.8,53611.8,53611.8
1145.4,53976.5,53976.5
1145.0,54382.4,54382.4
1144.6,53755.9,53755.9
1144.2,54323.5,54323.5
1143.8,53908.8,53908.8
1143.4,53273.5,53273.5
1143.0,53979.4,53979.4
1142.6,53820.6,53820.6
1142.2,53517.6,53517.6
1141.8,53614.7,53614.7
1141.4,54135.3,54135.3
1141.0,53644.1,53644.1
1140.6,54100.0,54100.0
1140.2,53670.6,53670.6
1139.8,53097.1,53097.1
1139.4,54238.2,54238.2
1139.0,53408.8,53408.8
1138.6,54273.5,54273.5
1138.2,53482.4,53482.4
1137.8,53938.2,53938.2
1137.4,54241.2,54241.2
1137.0,54732.4,54732.4
1136.6,54050.0,54050.0
1136.2,54264.7,54264.7
1135.8,54091.2,54091.2
1135.4,54094.1,54094.1
1135.0,54923.5,54923.5
1134.6,55026.5,55026.5
1134.2,55323.5,55323.5
1133.8,55341.2,55341.2
1133.4,55026.5,55026.5
1133.0,54452.9,54452.9
1132.6,54902.9,54902.9
1132.2,54908.8,54908.8
1131.8,54547.1,54547.1
1131.4,54338.2,54338.2
1131.0,53976.5,53976.5
1130.6,54564.7,54564.7
1130.2,54258.8,54258.8
1129.8,53985.3,53985.3
1129.4,54552.9,54552.9
1129.0,55158.8,55158.8
1128.6,55382.4,55382.4
1128.2,54764.7,54764.7
1127.8,54864.7,54864.7
1127.4,53573.5,53573.5
1127.0,55394.1,55394.1
1126.6,54358.8,54358.8
1126.2,53785.3,53785.3
1125.8,53844.1,53844.1
1125.4,54073.5,54073.5
1125.0,53361.8,53361.8
1124.6,54241.2,54241.2
1124.2,54558.8,54558.8
1123.8,54294.1,54294.1
1123.4,53776.5,53776.5
1123.0,55038.2,55038.2
1122.6,53782.4,53782.4
1122.2,54605.9,54605.9
1121.8,54344.1,54344.1
1121.4,53661.8,53661.8
1121.0,53788.2,53788.2
1120.6,54432.4,54432.4
1120.2,54688.2,54688.2
1119.8,55229.4,55229.4
1119.4,54241.2,54241.2
1119.0,54514.7,54514.7
1118.6,54702.9,54702.9
1118.2,53911.8,53911.8
1117.8,54755.9,54755.9
1117.4,54700.0,54700.0
1117.0,54650.0,54650.0
1116.6,54167.6,54167.6
1116.2,54667.6,54667.6
1115.8,54464.7,54464.7
1115.4,54535.3,54535.3
1115.0,54364.7,54364.7
1114.6,54311.8,54311.8
1114.2,54867.6,54867.6
1113.8,53791.2,53791.2
1113.4,54255.9,54255.9
1113.0,52708.8,52708.8
1112.6,54455.9,54455.9
1112.2,54520.6,54520.6
1111.8,54511.8,54511.8
1111.4,54914.7,54914.7
1111.0,53941.2,53941.2
1110.6,55191.2,55191.2
1110.2,54047.1,54047.1
1109.8,55276.5,55276.5
1109.4,54932.4,54932.4
1109.0,55123.5,55123.5
1108.6,55441.2,55441.2
1108.2,55229.4,55229.4
1107.8,56035.3,56035.3
1107.4,54552.9,54552.9
1107.0,56061.8,56061.8
1106.6,55050.0,55050.0
1106.2,54497.1,54497.1
1105.8,55102.9,55102.9
1105.4,55305.9,55305.9
1105.0,54955.9,54955.9
1104.6,55252.9,55252.9
1104.2,55144.1,55144.1
1103.8,54567.6,54567.6
1103.4,55144.1,55144.1
1103.0,55088.2,55088.2
1102.6,54879.4,54879.4
1102.2,55047.1,55047.1
1101.8,55241.2,55241.2
1101.4,55841.2,55841.2
1101.0,54923.5,54923.5
1100.6,56023.5,56023.5
1100.2,55558.8,55558.8
1099.8,55576.5,55576.5
1099.4,55008.8,55008.8
1099.0,55538.2,55538.2
1098.6,54332.4,54332.4
1098.2,55250.0,55250.0
1097.8,55347.1,55347.1
1097.4,55567.6,55567.6
1097.0,55711.8,55711.8
1096.6,55700.0,55700.0
1096.2,55185.3,55185.3
1095.8,55808.8,55808.8
1095.4,55179.4,55179.4
1095.0,55861.8,55861.8
1094.6,55944.1,55944.1
1094.2,56167.6,56167.6
1093.8,55526.5,55526.5
1093.4,55694.1,55694.1
1093.0,56738.2,56738.2
1092.6,56088.2,56088.2
1092.2,55817.6,55817.6
1091.8,55111.8,55111.8
1091.4,55620.6,55620.6
1091.0,55432.4,55432.4
1090.6,56426.5,56426.5
1090.2,55567.6,55567.6
1089.8,56061.8,56061.8
1089.4,55941.2,55941.2
1089.0,55644.1,55644.1
1088.6,56258.8,56258.8
1088.2,56447.1,56447.1
1087.8,56461.8,56461.8
1087.4,55911.8,55911.8
1087.0,56144.1,56144.1
1086.6,56520.6,56520.6
1086.2,55994.1,55994.1
1085.8,56002.9,56002.9
1085.4,55191.2,55191.2
1085.0,56594.1,56594.1
1084.6,55214.7,55214.7
1084.2,55997.1,55997.1
1083.8,55658.8,55658.8
1083.4,55967.6,55967.6
1083.0,55985.3,55985.3
1082.6,56429.4,56429.4
1082.2,55929.4,55929.4
1081.8,55767.6,55767.6
1081.4,56017.6,56017.6
1081.0,56208.8,56208.8
1080.6,56667.6,56667.6
1080.2,56376.5,56376.5
1079.8,56470.6,56470.6
1079.4,55744.1,55744.1
1079.0,56344.1,56344.1
1078.6,56761.8,56761.8
1078.2,56229.4,56229.4
1077.8,56291.2,56291.2
1077.4,56526.5,56526.5
1077.0,56147.1,56147.1
1076.6,56091.2,56091.2
1076.2,56214.7,56214.7
1075.8,56352.9,56352.9
1075.4,56326.5,56326.5
1075.0,55717.6,55717.6
1074.6,56747.1,56747.1
1074.2,56217.6,56217.6
1073.8,56688.2,56688.2
1073.4,56576.5,56576.5
1073.0,57117.6,57117.6
1072.6,57229.4,57229.4
1072.2,57994.1,57994.1
1071.8,57114.7,57114.7
1071.4,57320.6,57320.6
1071.0,56611.8,56611.8
1070.6,57291.2,57291.2
1070.2,56688.2,56688.2
1069.8,57476.5,57476.5
1069.4,56714.7,56714.7
1069.0,56944.1,56944.1
1068.6,57235.3,57235.3
1068.2,57667.6,57667.6
1067.8,58000.0,58000.0
1067.4,57355.9,57355.9
1067.0,57567.6,57567.6
1066.6,57385.3,57385.3
1066.2,57458.8,57458.8
1065.8,57155.9,57155.9
1065.4,57338.2,57338.2
1065.0,56738.2,56738.2
1064.6,57264.7,57264.7
1064.2,56738.2,56738.2
1063.8,57794.1,57794.1
1063.4,57502.9,57502.9
1063.0,57358.8,57358.8
1062.6,57620.6,57620.6
1062.2,57755.9,57755.9
1061.8,57988.2,57988.2
1061.4,56967.6,56967.6
1061.0,57473.5,57473.5
1060.6,57964.7,57964.7
1060.2,57144.1,57144.1
1059.8,57891.2,57891.2
1059.4,58647.1,58647.1
1059.0,56817.6,56817.6
1058.6,57697.1,57697.1
1058.2,57552.9,57552.9
1057.8,57594.1,57594.1
1057.4,56905.9,56905.9
1057.0,57008.8,57008.8
1056.6,57326.5,57326.5
1056.2,58026.5,58026.5
1055.8,57279.4,57279.4
1055.4,57358.8,57358.8
1055.0,57282.4,57282.4
1054.6,56952.9,56952.9
1054.2,56494.1,56494.1
1053.8,57208.8,57208.8
1053.4,57067.6,57067.6
1053.0,56450.0,56450.0
1052.6,57911.8,57911.8
1052.2,57800.0,57800.0
1051.8,57164.7,57164.7
1051.4,57535.3,57535.3
1051.0,57052.9,57052.9
1050.6,58094.1,58094.1
1050.2,57723.5,57723.5
1049.8,57976.5,57976.5
1049.4,58179.4,58179.4
1049.0,58338.2,58338.2
1048.6,59161.8,59161.8
1048.2,59058.8,59058.8
1047.8,59423.5,59423.5
1047.4,59858.8,59858.8
1047.0,61573.5,61573.5
1046.6,65294.1,65294.1
1046.2,68673.5,68673.5
1045.8,70370.6,70370.6
1045.4,73141.2,73141.2
1045.0,73470.6,73470.6
1044.6,71602.9,71602.9
1044.2,68197.1,68197.1
1043.8,64550.0,64550.0
1043.4,61985.3,61985.3
1043.0,60300.0,60300.0
1042.6,58379.4,58379.4
1042.2,58038.2,58038.2
1041.8,58047.1,58047.1
1041.4,58376.5,58376.5
1041.0,57914.7,57914.7
1040.6,58244.1,58244.1
1040.2,57702.9,57702.9
1039.8,58576.5,58576.5
1039.4,57770.6,57770.6
1039.0,58182.4,58182.4
1038.6,58061.8,58061.8
1038.2,58250.0,58250.0
1037.8,57608.8,57608.8
1037.4,57429.4,57429.4
1037.0,58120.6,58120.6
1036.6,57823.5,57823.5
1036.2,57173.5,57173.5
1035.8,57355.9,57355.9
1035.4,57120.6,57120.6
1035.0,57008.8,57008.8
1034.6,57394.1,57394.1
1034.2,57564.7,57564.7
1033.8,56926.5,56926.5
1033.4,57244.1,57244.1
1033.0,57820.6,57820.6
1032.6,57364.7,57364.7
1032.2,56117.6,56117.6
1031.8,56344.1,56344.1
1031.4,56473.5,56473.5
1031.0,55982.4,55982.4
1030.6,55944.1,55944.1
1030.2,56094.1,56094.1
1029.8,55773.5,55773.5
1029.4,55047.1,55047.1
1029.0,55808.8,55808.8
1028.6,56573.5,56573.5
1028.2,55952.9,55952.9
1027.8,55894.1,55894.1
1027.4,55220.6,55722.9
